役職名,陣営,能力,勝利条件,制作者
"イビルゲッサー","人狼陣営","昼の間、任意のタイミングで相手の役職を推測する
(回数無制限、ただし占い師と霊媒師は選択できない)。
予想が一致した場合→対象は死亡する。
予想が一致しなかった場合→自爆する。

｢全部、お見通しさ。｣","人狼陣営以外を全員殺害すること。","ゆじ"
"独裁者の卵","人狼陣営","他の人狼には独裁者の卵と明かされない。
自分以外の全ての人狼と狂人が殺害された次の昼で発動
(自動的にCOされる)
これ以降、独裁者は1人で3票有する。
夜のターンで占い師、霊媒師、騎士、先生に準ずる者を噛むと死亡する。

｢もう、後戻りはできない。｣","人狼陣営以外を全員殺害すること。","ゆじ"
"先生","村人陣営","1度だけ人狼に噛まれても生存する。

""大人のカード""
投票結果を無効にできる。ただし、2回使用すると自爆する。

｢私は君を信じるよ。｣","人狼陣営を殺害すること。","ゆじ"
"天秤","村人陣営","昼の間、1度だけ使用できる。
強制的に対象の2人を決選投票させる。ただし、同数票の場合、両方が処刑される。

｢どちらにしようかな♪｣","人狼陣営を殺害すること。","ゆじ"
"神","第三陣営","全員の役職がわかる。

｢Merry Christmas.｣","ゲーム終了時、生存で単独勝利。","ゆじ"
"テロリスト","人狼陣営","2日目の夜に2人殺せるが、自分も死ぬ。
2人殺すかどうかは任意","人狼陣営以外を全員殺害すること。","りく"
"ヒーラー","村人陣営","死んだ者を選んで生き返らせる
(人狼も生き返らせることが出来てしまう)
ゲームを通して1回のみ","人狼陣営を殺害すること。","りく"
"サンボマスター","人狼陣営","基本能力
誰かを殺害した後、10秒間透明化を手に入れるが、10秒後花火と爆音によって殺害現場が白日の元に晒される。

コアパッシブ「世界はそれを愛と呼ぶんだぜ」
海のように深い愛の心によって、ゲーム中1人しか殺害することが出来ない。
頑張れば2人殺害出来るが、深い愛の心によって自分も心中する。","人狼陣営以外を全員殺害すること。","こうよう"
"マルチ勧誘","人狼陣営","基本能力
マルチ勧誘で得た経験により、エメラルドのドロップ率が増加する。

コアパッシブ「人望」
度重なるマルチ勧誘によって人望を無くしたので、人狼には味方と認知されず、でも占ったら人狼と出る悲しき存在。
普通に人狼からも殺害される危険性がある。

コアパッシブ「危険な勧誘」
ゲーム開始時、幾つかの｢マルチ勧誘のチラシ｣を入手する。このアイテムを他人に渡すとエメラルドを大量に得られる。渡された相手は渡されたことは分かるが、捨てることは出来ない。","人狼陣営以外を全員殺害すること。","こうよう"
"キン肉マン","村人陣営","基本能力
鍛え上げられた素晴らしい筋肉は裏切らない！！！1回だけ生き残る

コアパッシブ「豊富なタンパク質」
プロテインをとても愛しているので、毎晩ショップでプロテインを購入し、飲まないと普通に死ぬ。でも近年の価格の高騰化でプロテインは高い。","人狼陣営を殺害すること。","こうよう"
"社畜","村人陣営","基本能力
疲労が溜まっているので、移動速度が少し遅い。

コアパッシブ「キーボードクラッシャー」
度重なる上司からの理不尽な叱責により溜まったストレスで、攻撃力が上昇している。

コアパッシブ「完全な謝罪(パーフェクトアポロジャイザー)」
アイテム｢土下座｣(ゲーム開始時1つ所持)を用いると、その気迫により、全プレイヤーが5秒間その場から動けなくなる。","人狼陣営を殺害すること。","こうよう"
"卍超絶怒涛暴走万華鏡写輪眼EX卍","第三陣営","基本能力
常に視力が低下している

コアパッシブ「写輪眼」
アイテム｢写輪眼｣(1~2つ所持)を朝の間に任意のプレイヤーに使用すると、自身は開眼状態となり、その夜〜朝にかけて使用したプレイヤーと同じ陣営となる。
開眼状態の間、夜になると自身は赤く発光する。
開眼状態が切れると、体力の消耗によりHPが1となり、空腹、鈍足、吐き気、弱体化になり、盲目がより強くなる。","自身が開眼状態の時に所属する陣営が勝利すると、自分のみがゲームに勝利する。","こうよう"
"狂犬","人狼陣営","狂犬　作:あちは
<役職説明>
人狼陣営。人を殺すこと以外を考えてない狂った犬。殺人衝動に脳が支配されているため目の前に映る人間を襲うのみ。
<能力>
夜のターンに人間を殺害する際、自分で誰を襲うのか選択することができない。また、頭が悪いため確率で襲撃が失敗する。しかし、攻撃能力は高いため、確率で2人殺害することができる。

確率
ランダムで1人殺害→60%
ランダムで2人殺害→20%
誰も殺害できない→20%
ルーレットでもなんでもいいので適当に使ってください。不正防止のためGMがやってもいいかも。","人狼陣営以外を全員殺害すること。","あちは"
"禁術使い","人狼陣営","禁術使い　作:あちは
<役職説明>
人狼陣営。古の時代に封印された禁術を操り、世界を混沌に陥れることを目的に活動する人間。人間の殲滅という点で人狼と協力しているため人狼陣営である。尚、心は悪に染まっているため占われた場合は黒と出る。
<能力>
あなたは夜のターンに三つの禁術から一つを選んで発動することができる。
①嘘塗りの術
指定した人物一人の占い時の役職表示を反転させる。
②幻霧の術
この術はゲーム内で一回しか使えない。これを発動したターンにあなたはゲームから離脱する(アナウンスでは死んだことになる)が、次のターンにまたゲームに復帰する。
場をかき乱す感じの用途で使おう。
③越界の術
このゲームにおいてすでに死者がいる場合に発動可能。任意の人物を一人選び、その人物を殺害する代わりに死者を一人復活させる。尚、死者が複数いる場合、復活する人物はランダムで決定する。","人狼陣営以外を全員殺害すること。","あちは"
"ストーカー","村人陣営","ストーカー　作:あちは
<役職説明>
村人陣営。人の家を覗き見するのが趣味な変人。
<能力>
夜のターンに1人指名し、その人物の元に誰かが訪れたかを把握することができる。(例えばAさんを指定した場合、Bさんが昨夜Aさんを占っていたとするとストーカー視点からは「Aさんの元に誰かが昨夜訪れた」という情報が手に入る。)
あくまでわかるのは「プレイヤーが訪れたかどうか」であり、誰が訪れたかまでの個人の特定はできない。
<補足>
この役職はFeignというゲームの「ルックアウト」という役職を元に作成しています。","人狼陣営を殺害すること。","あちは"
"超越者","村人陣営","超越者　作:あちは
<役職説明>
村人陣営。時間を超越できるとんでもねぇ人間。神に授かった不思議な力でゲームを勝利へと導く。
<能力>
ゲーム中に一回だけ、夜のターンをスキップすることができる。スキップが発動された場合、そのときまでに行われていた夜の行動は全てなかったことになり、昨日の投票終了段階の状態で新しい朝を迎える。一度能力を使った場合、その後のゲームでは能力を持たない村人として活動する。","人狼陣営を殺害すること。","あちは"
"呪言師","第三陣営","呪言師　作:あちは
<役職説明>
第三陣営。人間、人狼全員の殺害を目的とした呪詛師。言葉を紡ぐことで呪いの力を生み出し、人間の殺害を可能とする。
<能力>
ゲーム中に自分以外の参加人数と同じ回数分Discordのチャットにメッセージを送信することで勝利となる。一回で複数メッセージを送るのはルール違反。各メッセージは1分のインターバルが必要となる(メッセージの送信時間でGMが勝利かどうか判断する)
また、どこのチャンネルにメッセージを送るかは自由である。(一度メッセージを送ったらずっとそこのチャンネルに送らないといけないとかはない)
尚、夜の時間のメッセージ送信は禁止である。
また、誰かに「このメッセージ何かの能力じゃね？」みたいなことを言われた場合、呪いの力が失われてしまうためその日の夜に強制死亡となる。","能力欄にまとめて書いてます。","あちは"
"わんちんくんガチ恋勢","人狼陣営","まず初めに、自分自身がわんちんくんの事が好きではなかったら羞恥心によってゲーム開始時弾け死ぬ。
能力:毎晩誰か一人を占って、その人がわんちんくんのファンであるかそうでないかを確認できる。
吊られたにせよ、人狼に殺されたにせよ、退場する際に「わんちんくん万歳！！」と3回叫ばなければならない。","人狼陣営以外を全員殺害すること。","金世潤"
"タコピー","人狼陣営","語尾に必ず「〜っぴ」とつける。
もしつけてなかったことに気づいたら、「しずかちゃん…ごめんっぴ……」と必ず言う。
能力:任意の時(しかし会議中に限る)に一度だけ使える。
「わ、わかんないっぴ…」と叫ぶ。そうしたら、ハッピー道具の力によって任意の人一人を選んで、その人にその場で自身の能力を強制的に自白させる事ができる(しかし、自白するのは「職業名」だけで良く、能力の詳細を話す必要はない。別に話しても良い)。
しかし、この能力を発動した後、「さようならだっぴ…lと言って消滅する(死亡)。","人狼陣営以外を全員殺害すること。","金世潤"
